,phi,psi,prob
0,-176.99911583333335,-176.99484416666667,0.00015138749934179348
1,-176.99911583333335,-170.9949325,0.00012505923858669896
2,-176.99911583333335,-164.99502083333334,8.556684745405718e-05
3,-176.99911583333335,-158.99510916666668,0.00011189510820915171
4,-176.99911583333335,-152.99519750000002,3.949239113264178e-05
5,-176.99911583333335,-146.99528583333333,3.291032594386815e-05
6,-176.99911583333335,-140.99537416666666,6.5820651887736295e-06
7,-176.99911583333335,-134.9954625,1e-12
8,-176.99911583333335,-128.99555083333334,1e-12
9,-176.99911583333335,-122.99563916666668,1.974619556632089e-05
10,-176.99911583333335,-116.99572750000002,1e-12
11,-176.99911583333335,-110.99581583333334,1e-12
12,-176.99911583333335,-104.99590416666668,1e-12
13,-176.99911583333335,-98.9959925,1e-12
14,-176.99911583333335,-92.99608083333334,6.5820651887736295e-06
15,-176.99911583333335,-86.99616916666668,1e-12
16,-176.99911583333335,-80.99625750000001,1e-12
17,-176.99911583333335,-74.99634583333335,6.5820651887736295e-06
18,-176.99911583333335,-68.99643416666669,2.6328260755094518e-05
19,-176.99911583333335,-62.99652250000001,2.6328260755094518e-05
20,-176.99911583333335,-56.99661083333335,1.974619556632089e-05
21,-176.99911583333335,-50.99669916666668,1.3164130377547259e-05
22,-176.99911583333335,-44.99678750000001,2.6328260755094518e-05
23,-176.99911583333335,-38.99687583333335,1.3164130377547259e-05
24,-176.99911583333335,-32.996964166666686,2.6328260755094518e-05
25,-176.99911583333335,-26.997052500000024,4.607445632141541e-05
26,-176.99911583333335,-20.99714083333336,0.00010531304302037807
27,-176.99911583333335,-14.997229166666685,1.974619556632089e-05
28,-176.99911583333335,-8.997317500000008,6.5820651887736295e-06
29,-176.99911583333335,-2.997405833333346,1e-12
30,-176.99911583333335,3.0025058333333163,6.5820651887736295e-06
31,-176.99911583333335,9.002417499999979,2.6328260755094518e-05
32,-176.99911583333335,15.002329166666641,6.5820651887736295e-06
33,-176.99911583333335,21.002240833333303,1e-12
34,-176.99911583333335,27.002152499999966,1e-12
35,-176.99911583333335,33.00206416666663,6.5820651887736295e-06
