,si,sj,ei,ej,rij
0,0.339967,0.325,0.359824,0.71128,1.119492920924469
1,0.339967,0.325,0.359824,0.71128,1.1154921514739582
2,0.339967,0.325,0.359824,0.71128,1.1207512569700733
3,0.339967,0.325,0.359824,0.71128,1.1129019543517749
4,0.339967,0.325,0.359824,0.71128,1.1123269798040503
5,0.339967,0.325,0.359824,0.71128,1.0742887600640714
6,0.339967,0.325,0.359824,0.71128,1.073106583709186
7,0.339967,0.325,0.359824,0.71128,0.9751382363542107
8,0.339967,0.325,0.359824,0.71128,1.1308682239766048
9,0.339967,0.325,0.359824,0.71128,1.1041009283575485
10,0.339967,0.325,0.359824,0.71128,0.9736000667625284
11,0.339967,0.325,0.359824,0.71128,1.1160524987651788
12,0.339967,0.325,0.359824,0.71128,1.0393535057909797
13,0.339967,0.325,0.359824,0.71128,1.0952948872335706
14,0.339967,0.325,0.359824,0.71128,1.0888302209251908
15,0.339967,0.325,0.359824,0.71128,1.0031871909070613
16,0.339967,0.325,0.359824,0.71128,0.8718052362770029
17,0.339967,0.325,0.359824,0.71128,0.7914412801970846
18,0.339967,0.325,0.359824,0.71128,0.7541929395055357
19,0.339967,0.325,0.359824,0.71128,0.8006436785487038
20,0.339967,0.325,0.359824,0.71128,0.697412159343383
21,0.339967,0.325,0.359824,0.71128,0.6985918049905827
22,0.339967,0.325,0.359824,0.71128,0.6407239811338422
23,0.339967,0.325,0.359824,0.71128,0.9058140040869321
24,0.339967,0.325,0.359824,0.71128,0.7687833635036595
25,0.339967,0.325,0.359824,0.71128,0.8803032034475392
26,0.339967,0.325,0.359824,0.71128,0.7484987107537326
27,0.339967,0.325,0.359824,0.71128,1.0348122969891687
28,0.339967,0.325,0.359824,0.71128,0.6024153550499854
29,0.339967,0.325,0.359824,0.71128,0.5420272041143332
30,0.339967,0.325,0.359824,0.71128,0.7179212630922686
31,0.339967,0.325,0.359824,0.71128,0.6563402547459665
32,0.339967,0.325,0.359824,0.71128,0.7963139958584181
33,0.339967,0.325,0.359824,0.71128,0.7616876065684682
34,0.339967,0.325,0.359824,0.71128,0.8407962595064279
35,0.339967,0.325,0.359824,0.71128,0.8056942161887476
36,0.339967,0.325,0.359824,0.71128,0.8321705774659421
37,0.339967,0.325,0.359824,0.71128,0.766750715682744
38,0.339967,0.325,0.359824,0.71128,0.6090422152856078
39,0.339967,0.325,0.359824,0.71128,0.6719538972280757
40,0.339967,0.325,0.359824,0.71128,0.6552124388318655
41,0.339967,0.325,0.359824,0.71128,0.8575336378241964
42,0.339967,0.325,0.359824,0.71128,0.928608825071138
43,0.339967,0.325,0.359824,0.71128,0.840000886904294
44,0.339967,0.325,0.359824,0.71128,0.7683579179002453
45,0.339967,0.325,0.359824,0.71128,0.7222111810267129
46,0.339967,0.325,0.359824,0.71128,0.7548889785922172
47,0.339967,0.325,0.359824,0.71128,0.6060151565761372
48,0.339967,0.325,0.359824,0.71128,0.8465796713836213
49,0.339967,0.325,0.359824,0.71128,0.964866503719556
50,0.339967,0.325,0.359824,0.71128,1.0584025793619363
