t,P
0,0.7496529387094004
2,94.05802222933309
4,181.12992866122852
6,260.27075061359966
8,330.5933117856766
10,393.4614291647877
12,451.97825789761333
14,504.52272467830807
16,551.6032043739066
18,594.4490225004232
20,632.3456849672463
22,667.8989400011249
24,699.6909426866648
26,728.24606042189
28,755.0251561352061
30,778.3161724592804
32,799.1321537575526
34,819.0951929757316
36,835.1961425300167
38,851.3672148974446
40,863.6366060259951
42,878.964265915812
44,889.1037743849316
46,901.2212821939065
48,909.8967597665476
50,917.0764146542375
52,926.4376420269965
54,933.5589819442145
56,937.7451856748378
58,944.7696193689579
60,950.4325549146996
62,954.5662198420159
64,959.680872478568
66,962.2414288484131
68,966.8572895954737
70,970.5339301658072
72,972.7318840043151
74,976.2396960381728
76,976.9625053619948
78,978.9382991036333
80,981.0437019386272
82,983.7407136972456
84,984.2758893510427
86,985.8532464650314
88,988.5275470679355
90,988.5109386690146
92,990.1065234701077
94,992.0035063702107
96,992.6309759366336
98,992.2963347578686
100,992.9888261447398
102,994.2571284553882
104,995.0608302290744
106,995.350949587361
108,995.5988395890828
110,995.6728693868558
112,997.0142508688859
114,997.71907707545
116,997.0981180847618
118,997.1692084952458
120,997.3024238001743
122,997.7602995628205
124,999.6246856633653
126,998.2647788290957
128,997.9264142495126
130,998.9146789056659
132,999.3652028396683
134,998.5284276927268
136,999.6838949500893
138,999.6150793098852
140,999.3988971037721
142,1000.0373697409937
144,998.6761940585881
146,998.7098037456954
148,999.5653772004154
150,999.5058023304848
152,999.1188084651632
154,998.4690550045403
156,999.5584015464118
158,998.8380256403445
160,999.7564317573632
162,1000.7197453763962
164,999.106424480506
166,998.0836841321309
168,1000.4919779040697
170,999.1216893661749
172,1000.7857415728687
174,1000.1163248911885
176,999.8868225096958
178,1000.0660069837063
180,999.5932713338202
182,1000.1181665793582
184,999.5174596099247
186,999.5534757373154
188,1000.2959721470806
190,998.7778381538925
192,999.6996099173914
194,1000.8112484953032
196,999.1295057355842
198,1000.2732455432896
