t,P
0,0.0
2,16.306191319950937
4,22.394990451866075
6,26.651174212094887
8,27.933573887846144
10,29.031702992948922
12,29.18392025707716
14,30.67755548513156
16,28.788175414382764
18,29.509154138963122
20,29.37374720082268
22,30.50487471781101
24,30.555259731420584
26,29.24879833044904
28,30.400312746068504
30,29.930802275527288
32,30.51683956367483
34,30.782562725315433
36,29.685416269557116
38,30.512088175852995
40,30.347164632686592
42,29.46040977282143
44,30.73648775188341
46,30.424298803349302
48,30.278363611754777
50,29.866348828442618
52,30.571375123556983
54,29.173936844778737
56,30.84107605226889
58,30.26214948822639
60,30.031023133690454
62,29.53794543546816
64,31.41046159657361
66,30.5233460439613
68,30.605544739510187
70,30.025827733893387
72,29.77125317860909
74,29.260011996820378
76,29.78209082107696
78,29.70256738636293
80,29.764006537640775
82,30.31142743859482
84,29.970249093268315
86,29.285408642080927
88,30.662112868484865
90,30.208526025743595
92,29.90777282757977
94,29.72081561397246
96,29.532489108817103
98,29.102156708989533
100,30.33727983762883
102,30.09460675185616
104,29.740409043115513
106,30.735258317584158
108,30.159347591184595
110,30.684231994242694
112,30.04822250080805
114,30.31981549866528
116,29.194737412653275
118,30.014936456367362
120,30.667492351035662
122,30.817876722939214
124,29.466363478106686
126,29.070913591791186
128,30.292284490289024
130,29.468889087897328
132,29.81262250008801
134,29.05662720632692
136,29.571904749734017
138,29.76446842261731
140,30.78840720174619
142,29.99496522638827
144,31.078982090277567
146,30.321172453628094
148,31.29866242041285
150,30.41895005128302
152,29.051235556992445
154,29.738920897001446
156,30.971029702337134
158,30.610813758395633
160,29.210867079989242
162,29.769372745498035
164,30.617832400592246
166,30.236686107454158
168,29.149467855041273
170,29.241700313201644
172,29.52137557478356
174,29.90240562066664
176,29.770501961153336
178,29.53516817545115
180,30.144918417337387
182,30.54748573143167
184,29.62793334283551
186,29.31605874883022
188,27.88920632327098
190,29.528980326673253
192,30.43341886104318
194,30.53693636914653
196,30.18832591490199
198,30.186758936557776
